epoch,accuracy,loss,val_accuracy,val_loss
0,0.3693181872367859,1.7571369409561157,0.4375,1.617356538772583
1,0.4005681872367859,1.6182162761688232,0.46875,1.3444041013717651
2,0.6107954382896423,1.2153769731521606,0.84375,0.9059062004089355
3,0.6789772510528564,0.9735550284385681,0.78125,0.7218485474586487
4,0.7556818127632141,0.8152676224708557,0.875,0.5597932934761047
5,0.7357954382896423,0.759341835975647,0.84375,0.5592348575592041
6,0.8011363744735718,0.6383682489395142,0.875,0.5079461336135864
7,0.8409090638160706,0.5239009261131287,0.875,0.5065346956253052
8,0.8806818127632141,0.4749751389026642,0.90625,0.4611019492149353
9,0.8778409361839294,0.4315583407878876,0.90625,0.4329891502857208
10,0.9261363744735718,0.35504472255706787,0.875,0.41850045323371887
11,0.9375,0.3046310544013977,0.8125,0.4742053151130676
12,0.9431818127632141,0.29415181279182434,0.8125,0.5252788066864014
13,0.9630681872367859,0.27265432476997375,0.875,0.44421911239624023
14,0.9659090638160706,0.22389349341392517,0.875,0.5184946656227112
15,0.9801136255264282,0.18747927248477936,0.90625,0.4333654046058655
16,0.9857954382896423,0.18237289786338806,0.875,0.4308736324310303
17,0.9886363744735718,0.17091168463230133,0.875,0.4723131060600281
18,0.9914772510528564,0.14900730550289154,0.875,0.4407605528831482
19,0.9943181872367859,0.12181469798088074,0.84375,0.4781704545021057
20,1.0,0.10752132534980774,0.9375,0.2995639443397522
21,1.0,0.10696437209844589,0.875,0.407238245010376
22,1.0,0.09583436697721481,0.84375,0.5446251630783081
23,1.0,0.09272603690624237,0.90625,0.44799917936325073
24,1.0,0.08778487890958786,0.9375,0.2796400785446167
25,1.0,0.08102738857269287,0.875,0.48050105571746826
26,1.0,0.0769520103931427,0.84375,0.41094473004341125
27,1.0,0.07410965114831924,0.875,0.44370532035827637
28,1.0,0.0692397952079773,0.90625,0.30526676774024963
29,1.0,0.06757104396820068,0.90625,0.38737255334854126
30,1.0,0.06367459148168564,0.875,0.4536479115486145
31,1.0,0.06132402643561363,0.875,0.47561341524124146
32,1.0,0.057717714458703995,0.875,0.4740804135799408
33,1.0,0.05757493898272514,0.90625,0.31084543466567993
34,1.0,0.05498147010803223,0.875,0.4566410183906555
35,1.0,0.053187623620033264,0.9375,0.3494716286659241
36,1.0,0.05191831290721893,0.9375,0.34470146894454956
37,1.0,0.04865554720163345,0.9375,0.26746147871017456
38,1.0,0.04737135395407677,0.9375,0.3256710171699524
39,1.0,0.047114573419094086,0.90625,0.3949843645095825
40,1.0,0.04566526785492897,0.90625,0.39861151576042175
41,1.0,0.04400079697370529,0.875,0.5044714212417603
42,1.0,0.04255174100399017,0.90625,0.39415442943573
43,1.0,0.04090374335646629,0.90625,0.37423449754714966
44,1.0,0.039517130702733994,0.90625,0.3482261896133423
45,1.0,0.03822911158204079,0.875,0.47946634888648987
46,1.0,0.03684792295098305,0.90625,0.3649492859840393
47,1.0,0.03504864126443863,0.90625,0.3417198657989502
48,1.0,0.03341399133205414,0.90625,0.3864971399307251
49,1.0,0.03156749904155731,0.90625,0.33254510164260864
