epoch,accuracy,loss,val_accuracy,val_loss
0,0.3068181872367859,1.833822250366211,0.375,1.7837738990783691
1,0.40625,1.7046973705291748,0.5,1.5122294425964355
2,0.4232954680919647,1.6369941234588623,0.46875,1.4051685333251953
3,0.5454545617103577,1.3858757019042969,0.84375,0.9394650459289551
4,0.6335227489471436,1.1144715547561646,0.78125,0.7850836515426636
5,0.6846590638160706,0.9129828810691833,0.90625,0.4535272717475891
6,0.7329545617103577,0.790332019329071,0.78125,0.6197937726974487
7,0.7727272510528564,0.6638396978378296,0.90625,0.3344665765762329
8,0.7982954382896423,0.5996261239051819,0.8125,0.5378459692001343
9,0.8465909361839294,0.5313998460769653,0.8125,0.6259214282035828
10,0.8579545617103577,0.4763152301311493,0.84375,0.39957278966903687
11,0.84375,0.463418573141098,0.84375,0.5140960216522217
12,0.8551136255264282,0.4440755546092987,0.8125,0.6227208375930786
13,0.8778409361839294,0.4035695791244507,0.90625,0.34314194321632385
14,0.8778409361839294,0.37322700023651123,0.8125,0.4657002091407776
15,0.8920454382896423,0.3565179109573364,0.875,0.4907553195953369
16,0.9147727489471436,0.3238561153411865,0.875,0.4112706184387207
17,0.9090909361839294,0.33834654092788696,0.90625,0.3494962453842163
18,0.9318181872367859,0.2764177620410919,0.84375,0.5310553312301636
19,0.9289772510528564,0.2820492684841156,0.84375,0.5182422399520874
20,0.9488636255264282,0.2642936408519745,0.84375,0.43451035022735596
21,0.96875,0.214656263589859,0.84375,0.4699060916900635
22,0.9460227489471436,0.2476799488067627,0.875,0.4498782157897949
23,0.9517045617103577,0.21202820539474487,0.84375,0.6458773016929626
24,0.9545454382896423,0.20614396035671234,0.875,0.4506959915161133
25,0.9545454382896423,0.20489631593227386,0.875,0.39534294605255127
26,0.9602272510528564,0.18554233014583588,0.84375,0.5008354783058167
27,0.9403409361839294,0.235340878367424,0.84375,0.5653740167617798
28,0.9715909361839294,0.1787494271993637,0.875,0.4817860722541809
29,0.9744318127632141,0.16111637651920319,0.875,0.49293339252471924
30,0.9857954382896423,0.14457720518112183,0.90625,0.44408145546913147
31,0.9857954382896423,0.14202319085597992,0.84375,0.3102355897426605
32,0.9829545617103577,0.1336357444524765,0.78125,0.48374196887016296
33,0.9829545617103577,0.11663652211427689,0.875,0.43746933341026306
34,0.9857954382896423,0.10542716830968857,0.78125,0.5471539497375488
35,0.9971590638160706,0.09666778892278671,0.84375,0.41316384077072144
36,0.9943181872367859,0.09279052913188934,0.875,0.4769892692565918
37,0.9943181872367859,0.09071924537420273,0.75,0.5977339148521423
38,0.9943181872367859,0.09874822944402695,0.8125,0.605766773223877
39,1.0,0.08671728521585464,0.90625,0.2781677842140198
40,0.9943181872367859,0.08749700337648392,0.90625,0.4029431641101837
41,0.9971590638160706,0.07576622813940048,0.875,0.45595479011535645
42,1.0,0.07649776339530945,0.90625,0.37491312623023987
43,1.0,0.06655419617891312,0.9375,0.21568450331687927
44,1.0,0.06718318909406662,0.875,0.47441384196281433
45,1.0,0.06836170703172684,0.875,0.4629402160644531
46,1.0,0.05892999470233917,0.875,0.24713703989982605
47,1.0,0.06044470891356468,0.875,0.2820461392402649
48,1.0,0.056147489696741104,0.9375,0.40266385674476624
49,1.0,0.05468565598130226,0.90625,0.26026850938796997
