epoch,accuracy,loss,val_accuracy,val_loss
0,0.4739583432674408,1.5325229167938232,0.7109375,0.9669907093048096
1,0.7899305820465088,0.7727291584014893,0.7890625,0.8335884809494019
2,0.8637152910232544,0.5500929355621338,0.84375,0.5813610553741455
3,0.9114583134651184,0.39288103580474854,0.84375,0.5463408827781677
4,0.9427083134651184,0.29442834854125977,0.875,0.5120584964752197
5,0.9644097089767456,0.2477586269378662,0.8671875,0.5118722915649414
6,0.9600694179534912,0.23489311337471008,0.8984375,0.4312586188316345
7,0.9809027910232544,0.17120115458965302,0.8984375,0.4466184973716736
8,0.9869791865348816,0.14500939846038818,0.90625,0.44771045446395874
9,0.9861111044883728,0.142251119017601,0.90625,0.3948538303375244
10,0.9791666865348816,0.1503504365682602,0.875,0.4671262502670288
11,0.9713541865348816,0.1676018387079239,0.8984375,0.4344395697116852
12,0.984375,0.1460740715265274,0.875,0.4183254539966583
13,0.9939236044883728,0.10575791448354721,0.8984375,0.4289112687110901
14,0.9878472089767456,0.12832312285900116,0.8984375,0.5292730927467346
15,0.9774305820465088,0.16102471947669983,0.890625,0.46080780029296875
16,0.9913194179534912,0.11747778952121735,0.9140625,0.4107217490673065
17,1.0,0.07534871250391006,0.9140625,0.3916974365711212
18,1.0,0.06540296971797943,0.9140625,0.36593160033226013
19,1.0,0.059418220072984695,0.90625,0.4097384214401245
20,1.0,0.055424295365810394,0.8984375,0.4060959219932556
21,1.0,0.05200665071606636,0.9140625,0.3886411488056183
22,1.0,0.04916541650891304,0.90625,0.3990388512611389
23,1.0,0.04738873988389969,0.921875,0.3605286180973053
24,1.0,0.045219939202070236,0.90625,0.38663479685783386
25,1.0,0.042689934372901917,0.8984375,0.3910691738128662
26,1.0,0.04183071479201317,0.921875,0.3628177344799042
27,1.0,0.0400819256901741,0.9140625,0.38588017225265503
28,1.0,0.03869883716106415,0.9140625,0.4003731608390808
29,1.0,0.03722182661294937,0.90625,0.38798603415489197
